rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
110,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,32,79,3,45401,7z7kvUQGwlC6iOl7vMuAr9
111,spotify:track:0aZG8KWrpRnsGL0loUkfSj,TWS,plot twist,PLEDIS Entertainment,9,116,37,45356,0aZG8KWrpRnsGL0loUkfSj
112,spotify:track:7x3SGAkfIrzDr9paSslwMv,Lim Young Woong,Lovely Touch,물고기뮤직,28,114,123,45341,7x3SGAkfIrzDr9paSslwMv
113,spotify:track:2ODZujtUNxCQDfKCxCeRxZ,PLAVE,Our Movie,VLAST,63,95,7,45235,2ODZujtUNxCQDfKCxCeRxZ
114,spotify:track:7vjfnsnDXZGK4PSq54ISjc,LE SSERAFIM,1-800-hot-n-fun,SOURCE MUSIC,32,89,5,45031,7vjfnsnDXZGK4PSq54ISjc
115,spotify:track:3bNNvJA7hsGw0wSpGkfOBm,Jung Kook,Too Sad to Dance,BIGHIT MUSIC,10,107,48,44927,3bNNvJA7hsGw0wSpGkfOBm
116,spotify:track:2SBnYX6QFYotZEeVgxr0nv,HOMIES,NOSAE NOSAE,㈜호미들,116,131,3,44841,2SBnYX6QFYotZEeVgxr0nv
117,spotify:track:3lboRjzlrZ8tFxR0y59Yny,KEY,I Know,SM Entertainment,117,193,2,44734,3lboRjzlrZ8tFxR0y59Yny
118,spotify:track:24ISyrkOgpc0IodIEUokog,데이먼스 이어 Damons year,yours,Akashic Records,48,125,105,44686,24ISyrkOgpc0IodIEUokog
119,spotify:track:0OaHZgVm77zLQNR3kwFf6n,BOYNEXTDOOR,Dangerous,KOZ Entertainment,31,72,5,44599,0OaHZgVm77zLQNR3kwFf6n
120,spotify:track:0tHp91iPXT425nduoYRHlm,KEY,Novacaine,SM Entertainment,120,-1,1,44334,0tHp91iPXT425nduoYRHlm
121,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,35,118,183,44249,0RiRZpuVRbi7oqRdSMwhQY
122,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,35,132,53,44194,3vkCueOmm7xQDoJ17W1Pm3
123,spotify:track:4eF3keUr7n9TXSl4NaZQOS,QWER,FAKE IDOL,TAMAGO PRODUCTION,123,135,4,44176,4eF3keUr7n9TXSl4NaZQOS
124,spotify:track:43u5DDtK4vQ1coWXb4S5a8,Lim Young Woong,HERO,"TIZZO C&C, New Era Project",31,113,103,43957,43u5DDtK4vQ1coWXb4S5a8
125,spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,aespa,Drama,SM Entertainment / Warner Records,15,134,47,43909,5XWlyfo0kZ8LF7VSyfS4Ew
126,spotify:track:1L3tUdD47eusTrxQRnr7IK,KEY,Going Up,SM Entertainment,126,-1,1,43871,1L3tUdD47eusTrxQRnr7IK
127,spotify:track:0yfQBmmOIVqiwhV5u10EhN,Lim Young Woong,Love Letter,물고기뮤직,23,112,120,43710,0yfQBmmOIVqiwhV5u10EhN
128,spotify:track:3X76Lal4GwBFqriHz1FbLU,FIFTY FIFTY,SOS,ATTRAKT,101,101,2,43661,3X76Lal4GwBFqriHz1FbLU
129,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,36,143,118,43318,2LBqCSwhJGcFQeTHMVGwy3
130,spotify:track:1NubJcJa12xLssOkQfWZDZ,PLAVE,Watch Me Woo!,VLAST,67,102,7,43269,1NubJcJa12xLssOkQfWZDZ
131,spotify:track:0vaxYDAuAO1nPolC6bQp7V,KISS OF LIFE,Midas Touch,S2 ENTERTAINMENT INC.,10,124,27,42913,0vaxYDAuAO1nPolC6bQp7V
132,spotify:track:58Q3FZFs1YXPpliWQB5kXB,NewJeans,Right Now,ADOR,4,117,15,42518,58Q3FZFs1YXPpliWQB5kXB
133,spotify:track:1UyrFk2u0Asqmys76trMLi,PLAVE,From,VLAST,71,106,7,42423,1UyrFk2u0Asqmys76trMLi
